Trip ID,User ID,Destination,Departure Date,Return Date,Travel Type,Transportation Mode,Hotel Rating,Total Cost ($),Customer_Satisfaction,Satisfaction_level,Departure Month,Trip_Duration
TRIP032,USER8648,London,2024-05-19,2024-06-22,Leisure,Car,2,4917.42,3.0,Low,May,34
TRIP18186,USER4664,London,2024-11-29,2025-02-17,Cultural,Bus,3,2309.89,5.0,Medium,November,80
TRIP16062,USER8180,Paris,2024-05-08,2024-10-12,Cultural,Bus,2,934.66,1.0,Low,May,157
TRIP00959,USER3312,London,2024-09-08,2024-10-18,Cultural,Car,5,1192.88,5.0,Medium,September,40
TRIP04185,USER1761,Rome,2024-07-16,2025-03-24,Cultural,Bus,1,1962.87,10.0,High,July,251
TRIP15658,USER2740,Sydney,2024-12-24,2025-01-02,Family,Bus,2,1043.13,8.0,High,December,9
TRIP12665,USER8557,Dubai,2024-08-02,2025-02-21,Leisure,Flight,3,3381.39,7.0,Medium,August,203
TRIP17614,USER4882,Bangkok,2024-06-26,2024-07-22,Business,Train,3,2719.48,4.0,Low,June,26
TRIP10524,USER9127,Bangkok,2024-07-19,2024-12-28,Leisure,Cruise,1,3610.85,10.0,High,July,162
TRIP02577,USER7268,Dubai,2024-08-07,2024-09-06,Business,Car,4,4510.92,2.0,Low,August,30
TRIP00382,USER9182,Rome,2024-12-13,2024-12-31,Family,Cruise,5,3843.44,3.0,Low,December,18
TRIP14769,USER1421,Tokyo,2024-05-31,2024-09-14,Adventure,Car,5,2746.27,1.0,Low,May,106
TRIP04491,USER7841,Dubai,2024-12-17,2025-04-06,Family,Bus,2,4714.42,7.0,Medium,December,110
TRIP16925,USER3317,Tokyo,2024-10-12,2025-01-25,Adventure,Cruise,5,508.2,8.0,High,October,105
TRIP16229,USER3319,Bangkok,2024-10-10,2025-01-12,Leisure,Car,3,1631.59,4.0,Low,October,94
TRIP19923,USER9371,London,2024-11-11,2024-11-28,Business,Train,5,3287.48,9.0,High,November,17
TRIP18766,USER4086,Barcelona,2024-09-07,2025-02-23,Family,Bus,1,1663.55,3.0,Low,September,169
TRIP06794,USER3884,New York,2025-01-22,2025-04-13,Adventure,Bus,3,3459.39,5.0,Medium,January,81
TRIP06936,USER7982,New York,2024-05-03,2024-09-27,Leisure,Train,3,631.02,4.0,Low,May,147
TRIP00136,USER1964,Rome,2024-09-23,2024-12-07,Adventure,Flight,1,1101.0,6.0,Medium,September,75
TRIP08563,USER7700,Rome,2024-07-28,2025-04-08,Leisure,Train,1,3672.52,2.0,Low,July,254
TRIP13287,USER2687,Istanbul,2025-01-28,2025-03-10,Beach,Car,4,3382.92,6.0,Medium,January,41
TRIP10988,USER5264,Barcelona,2025-03-14,2025-04-03,Beach,Cruise,4,3402.25,3.0,Low,March,20
TRIP00414,USER5969,New York,2024-12-25,2025-04-05,Business,Flight,5,4293.42,5.0,Medium,December,101
TRIP10847,USER1750,Dubai,2025-03-11,2025-04-06,Family,Car,3,2046.81,1.0,Low,March,26
TRIP11958,USER6948,London,2024-08-02,2025-03-14,Beach,Car,2,2070.58,2.0,Low,August,224
TRIP07042,USER6695,Barcelona,2024-09-29,2024-11-24,Adventure,Bus,2,2043.4,6.0,Medium,September,56
TRIP01502,USER9065,Paris,2025-01-14,2025-03-20,Cultural,Cruise,2,3193.96,2.0,Low,January,65
TRIP07800,USER1077,Paris,2024-12-03,2025-01-21,Family,Flight,1,2293.93,1.0,Low,December,49
TRIP13610,USER5173,Barcelona,2025-02-07,2025-03-26,Business,Flight,2,683.42,9.0,High,February,47
TRIP14597,USER4247,Istanbul,2024-06-08,2024-08-11,Leisure,Bus,1,2522.74,3.0,Low,June,64
TRIP04227,USER3064,Tokyo,2024-05-13,2024-06-22,Adventure,Cruise,4,991.34,10.0,High,May,40
TRIP16000,USER8604,Dubai,2025-01-23,2025-03-15,Beach,Bus,5,2166.26,8.0,High,January,51
TRIP12903,USER2177,Bangkok,2024-08-04,2024-11-03,Family,Train,2,4493.96,7.0,Medium,August,91
TRIP06592,USER8502,Rome,2024-04-20,2024-07-23,Leisure,Car,5,3922.34,10.0,High,April,94
TRIP02487,USER5230,New York,2024-04-16,2025-01-08,Business,Car,1,4254.41,1.0,Low,April,267
TRIP13284,USER5390,New York,2024-03-28,2025-02-04,Cultural,Flight,1,3770.1,3.0,Low,March,313
TRIP05333,USER5497,Rome,2025-01-27,2025-04-13,Leisure,Cruise,5,4024.06,8.0,High,January,76
TRIP09885,USER6917,Dubai,2024-04-09,2024-10-30,Leisure,Train,1,2183.06,7.0,Medium,April,204
TRIP02103,USER7836,London,2024-03-24,2024-04-22,Family,Car,1,3966.54,9.0,High,March,29
TRIP17620,USER7954,Bangkok,2024-05-27,2024-11-02,Family,Car,1,1785.54,1.0,Low,May,159
TRIP14837,USER3801,Bangkok,2024-08-15,2024-10-20,Business,Cruise,1,2365.54,5.0,Medium,August,66
TRIP14984,USER4843,Paris,2024-03-30,2024-05-08,Business,Car,4,571.11,6.0,Medium,March,39
TRIP02954,USER7287,Paris,2024-05-03,2024-05-17,Leisure,Car,2,4070.61,9.0,High,May,14
TRIP18518,USER5277,New York,2024-05-19,2024-07-18,Leisure,Car,5,2876.65,7.0,Medium,May,60
TRIP04033,USER6081,Tokyo,2025-01-23,2025-03-25,Adventure,Train,4,666.56,5.0,Medium,January,61
TRIP18784,USER7212,New York,2024-04-20,2024-12-05,Beach,Cruise,5,4104.93,8.0,High,April,229
TRIP15118,USER3995,New York,2024-10-26,2025-04-08,Cultural,Car,3,1992.07,8.0,High,October,164
TRIP07632,USER4521,Rome,2024-09-12,2024-10-22,Beach,Train,1,1593.31,1.0,Low,September,40
TRIP11972,USER1460,Rome,2024-11-08,2025-01-28,Family,Flight,1,4534.08,9.0,High,November,81
TRIP02151,USER4913,Istanbul,2024-08-03,2024-10-02,Business,Train,3,1001.76,6.0,Medium,August,60
TRIP11630,USER2724,Bangkok,2024-05-15,2024-09-25,Family,Cruise,4,3684.65,3.0,Low,May,133
TRIP04035,USER3827,Sydney,2024-06-07,2024-07-04,Beach,Flight,3,3414.91,10.0,High,June,27
TRIP03316,USER8528,Paris,2024-11-05,2025-01-11,Business,Cruise,5,3287.27,3.0,Low,November,67
TRIP12194,USER8274,Rome,2024-06-12,2024-09-28,Family,Bus,2,4735.08,10.0,High,June,108
TRIP08999,USER2449,Tokyo,2024-03-26,2025-01-06,Business,Car,2,4927.34,6.0,Medium,March,286
TRIP00428,USER7537,New York,2024-10-26,2024-12-08,Leisure,Car,4,3863.62,1.0,Low,October,43
TRIP15259,USER4377,Bangkok,2024-08-26,2025-01-25,Leisure,Cruise,2,2064.94,7.0,Medium,August,152
TRIP15292,USER2970,New York,2025-01-03,2025-04-15,Leisure,Car,3,4011.92,6.0,Medium,January,102
TRIP17874,USER6063,London,2025-01-15,2025-02-06,Leisure,Bus,4,4749.64,3.0,Low,January,22
TRIP01904,USER7906,Paris,2025-02-08,2025-02-24,Beach,Train,4,1984.57,8.0,High,February,16
TRIP04177,USER7221,Sydney,2024-08-09,2025-01-28,Adventure,Flight,4,3073.48,2.0,Low,August,172
TRIP08672,USER3182,London,2024-03-29,2024-05-16,Family,Car,1,4939.1,9.0,High,March,48
TRIP01293,USER9987,Paris,2024-03-16,2024-09-08,Cultural,Train,1,1974.84,1.0,Low,March,176
TRIP05053,USER8412,Barcelona,2024-09-02,2024-09-11,Adventure,Train,4,909.63,4.0,Low,September,9
TRIP05192,USER9388,Dubai,2024-10-07,2024-11-03,Cultural,Flight,4,4311.63,7.0,Medium,October,27
TRIP16746,USER4265,Istanbul,2024-08-19,2025-02-17,Business,Cruise,5,4706.95,6.0,Medium,August,182
TRIP11316,USER4129,London,2024-09-18,2025-04-04,Beach,Cruise,1,3400.65,9.0,High,September,198
TRIP13064,USER8082,Tokyo,2025-02-24,2025-04-06,Beach,Cruise,4,1997.01,9.0,High,February,41
TRIP02737,USER8898,Barcelona,2025-01-26,2025-02-05,Adventure,Bus,5,3616.95,5.0,Medium,January,10
TRIP08058,USER4217,Tokyo,2025-03-08,2025-04-12,Business,Cruise,5,2764.64,5.0,Medium,March,35
TRIP18555,USER1802,Istanbul,2024-09-17,2025-03-23,Business,Train,3,1993.04,10.0,High,September,187
TRIP19534,USER9074,Barcelona,2025-02-13,2025-02-22,Business,Bus,5,1652.92,9.0,High,February,9
TRIP07544,USER2113,New York,2025-03-06,2025-04-12,Cultural,Cruise,3,3754.22,5.0,Medium,March,37
TRIP17235,USER7036,Paris,2025-03-14,2025-03-19,Business,Train,4,4283.88,4.0,Low,March,5
TRIP06257,USER9160,Paris,2025-03-09,2025-04-15,Cultural,Cruise,5,1813.86,5.0,Medium,March,37
TRIP02783,USER9954,Barcelona,2024-06-28,2024-12-09,Family,Car,1,1941.48,10.0,High,June,164
TRIP05076,USER3916,Tokyo,2024-06-19,2024-06-23,Business,Flight,4,3723.27,8.0,High,June,4
TRIP17129,USER6828,London,2025-03-06,2025-03-13,Cultural,Cruise,5,1423.32,2.0,Low,March,7
TRIP06985,USER7204,Barcelona,2024-05-19,2025-01-27,Family,Flight,5,1643.85,9.0,High,May,253
TRIP19771,USER9114,Rome,2025-01-09,2025-03-23,Beach,Cruise,4,1904.91,3.0,Low,January,73
TRIP16705,USER4071,Dubai,2024-11-10,2025-02-23,Leisure,Car,5,4992.34,6.0,Medium,November,105
TRIP14554,USER1523,Sydney,2024-07-17,2024-10-07,Business,Flight,1,1765.83,4.0,Low,July,82
TRIP03241,USER3096,New York,2024-10-09,2025-01-10,Leisure,Cruise,5,1290.23,8.0,High,October,93
TRIP08562,USER6435,London,2024-10-28,2025-01-17,Leisure,Bus,2,4376.93,4.0,Low,October,81
TRIP12603,USER3976,Paris,2024-07-08,2025-02-02,Business,Train,5,4011.25,8.0,High,July,209
TRIP01847,USER4155,Tokyo,2025-02-28,2025-03-27,Cultural,Train,3,3098.74,4.0,Low,February,27
TRIP03692,USER6156,Bangkok,2024-06-12,2024-08-23,Business,Train,3,1451.01,2.0,Low,June,72
TRIP13948,USER7009,Tokyo,2024-12-16,2025-03-17,Cultural,Bus,2,4884.67,4.0,Low,December,91
TRIP16192,USER2017,Paris,2024-07-15,2025-01-09,Adventure,Train,1,4115.85,10.0,High,July,178
TRIP18500,USER9604,London,2025-01-12,2025-01-25,Adventure,Bus,2,1700.46,1.0,Low,January,13
TRIP15053,USER9598,Rome,2024-08-03,2024-11-13,Cultural,Car,3,896.13,4.0,Low,August,102
TRIP17336,USER7185,Bangkok,2024-10-27,2025-04-15,Cultural,Flight,3,4917.39,8.0,High,October,170
TRIP12609,USER9975,Istanbul,2025-02-21,2025-04-03,Cultural,Bus,5,1316.06,5.0,Medium,February,41
TRIP15883,USER8766,Bangkok,2024-06-17,2025-02-28,Adventure,Cruise,3,1992.33,4.0,Low,June,256
TRIP14400,USER9429,New York,2024-04-06,2024-11-13,Cultural,Train,1,1935.86,9.0,High,April,221
TRIP19676,USER1936,London,2024-06-17,2024-07-28,Family,Car,1,4989.78,6.0,Medium,June,41
TRIP00656,USER1625,New York,2024-04-12,2024-08-01,Beach,Cruise,3,2586.04,1.0,Low,April,111
TRIP19150,USER3120,New York,2024-10-16,2025-02-22,Family,Bus,5,4467.37,5.0,Medium,October,129
TRIP07575,USER9236,New York,2024-09-05,2024-09-30,Beach,Cruise,2,3471.66,8.0,High,September,25
TRIP03261,USER2591,Dubai,2024-05-03,2024-07-11,Family,Bus,2,2066.46,5.0,Medium,May,69
TRIP04716,USER6558,London,2025-01-20,2025-01-23,Cultural,Cruise,1,3477.39,1.0,Low,January,3
TRIP02749,USER5542,London,2024-09-21,2025-03-10,Business,Cruise,4,1182.83,1.0,Low,September,170
TRIP01124,USER2409,Rome,2024-07-29,2025-01-17,Beach,Train,4,4762.84,4.0,Low,July,172
TRIP15772,USER7622,Istanbul,2024-12-29,2025-03-10,Cultural,Car,2,4307.78,2.0,Low,December,71
TRIP00375,USER3735,Barcelona,2025-01-07,2025-03-06,Business,Cruise,3,1372.99,5.0,Medium,January,58
TRIP02116,USER6379,Barcelona,2024-08-16,2025-02-23,Adventure,Bus,2,3527.86,2.0,Low,August,191
TRIP10029,USER3478,Barcelona,2024-07-11,2024-07-27,Family,Bus,2,4563.54,1.0,Low,July,16
TRIP03019,USER4068,Istanbul,2024-04-25,2024-12-26,Business,Car,5,1089.39,5.0,Medium,April,245
TRIP14348,USER8460,Barcelona,2024-05-18,2024-07-09,Beach,Bus,3,3804.73,10.0,High,May,52
TRIP01286,USER8314,Sydney,2024-06-04,2024-12-10,Beach,Train,4,2785.88,8.0,High,June,189
TRIP16287,USER8846,Barcelona,2024-06-21,2025-01-21,Family,Car,1,4749.83,7.0,Medium,June,214
TRIP16541,USER5035,New York,2024-06-15,2024-12-31,Family,Flight,5,568.09,1.0,Low,June,199
TRIP11066,USER2383,Paris,2024-04-13,2024-05-17,Leisure,Flight,4,3761.82,7.0,Medium,April,34
TRIP18377,USER5177,Dubai,2024-07-11,2024-09-12,Business,Train,2,4934.32,10.0,High,July,63
TRIP02150,USER4977,New York,2024-08-06,2024-08-26,Leisure,Flight,1,4065.29,9.0,High,August,20
TRIP08278,USER1034,Tokyo,2024-05-14,2025-01-02,Cultural,Cruise,3,3509.48,6.0,Medium,May,233
TRIP19839,USER5276,Bangkok,2024-04-18,2024-08-17,Beach,Car,2,1477.91,3.0,Low,April,121
TRIP09178,USER9779,Tokyo,2024-09-02,2024-11-22,Beach,Cruise,4,3051.1,4.0,Low,September,81
TRIP17708,USER3113,Dubai,2024-10-22,2024-11-23,Business,Cruise,3,1051.55,9.0,High,October,32
TRIP17853,USER7947,Bangkok,2024-12-12,2025-02-26,Business,Cruise,5,1699.85,1.0,Low,December,76
TRIP05902,USER1746,Istanbul,2024-10-08,2024-10-26,Cultural,Car,4,3640.37,8.0,High,October,18
TRIP16485,USER5597,Barcelona,2024-10-11,2025-01-28,Adventure,Bus,5,672.43,4.0,Low,October,109
TRIP13413,USER5185,New York,2024-04-18,2024-10-20,Beach,Train,5,2065.93,9.0,High,April,185
TRIP19631,USER4437,Istanbul,2024-10-26,2024-11-12,Cultural,Flight,2,1640.83,6.0,Medium,October,17
TRIP00866,USER9186,London,2024-05-06,2024-05-19,Cultural,Train,4,3958.69,3.0,Low,May,13
TRIP17319,USER5551,Paris,2024-10-21,2024-11-02,Business,Bus,2,1416.03,6.0,Medium,October,12
TRIP17939,USER5323,Paris,2024-07-14,2025-01-17,Cultural,Car,4,2222.41,6.0,Medium,July,187
TRIP13585,USER5809,London,2024-08-16,2025-01-07,Family,Car,5,1492.21,10.0,High,August,144
TRIP01734,USER9174,Paris,2024-05-06,2025-04-13,Adventure,Flight,1,2735.28,5.0,Medium,May,342
TRIP07415,USER8222,Bangkok,2025-02-23,2025-03-08,Business,Cruise,3,2394.39,6.0,Medium,February,13
TRIP11358,USER5436,Tokyo,2025-03-01,2025-03-24,Family,Cruise,1,3761.55,6.0,Medium,March,23
TRIP10352,USER4761,Rome,2024-07-03,2024-12-22,Cultural,Train,4,2594.35,1.0,Low,July,172
TRIP14112,USER7549,Tokyo,2024-03-20,2025-01-31,Beach,Cruise,3,2093.85,3.0,Low,March,317
TRIP00641,USER2710,London,2024-05-07,2025-02-24,Leisure,Train,2,830.93,4.0,Low,May,293
TRIP04169,USER4149,Paris,2024-04-19,2024-12-12,Cultural,Car,2,3443.13,4.0,Low,April,237
TRIP00569,USER7050,Paris,2024-07-06,2024-11-02,Family,Flight,4,4007.25,7.0,Medium,July,119
TRIP09420,USER7210,Istanbul,2024-08-21,2025-02-06,Cultural,Flight,2,2359.28,1.0,Low,August,169
TRIP08733,USER5539,London,2024-09-02,2024-09-20,Adventure,Cruise,2,1283.62,8.0,High,September,18
TRIP11774,USER4437,Bangkok,2025-02-03,2025-02-20,Beach,Flight,4,2627.0,2.0,Low,February,17
TRIP01316,USER8186,Dubai,2024-04-28,2025-02-25,Adventure,Car,2,1303.77,10.0,High,April,303
TRIP08284,USER3970,London,2024-12-02,2025-03-27,Beach,Train,4,823.34,3.0,Low,December,115
TRIP16147,USER6163,Barcelona,2024-07-18,2024-07-19,Family,Bus,3,844.94,7.0,Medium,July,1
TRIP06928,USER8024,New York,2024-05-04,2024-08-15,Cultural,Cruise,3,2395.37,6.0,Medium,May,103
TRIP19235,USER8892,London,2024-12-22,2025-01-07,Business,Bus,2,836.12,5.0,Medium,December,16
TRIP05512,USER8223,New York,2025-02-04,2025-03-13,Cultural,Bus,1,4528.0,2.0,Low,February,37
TRIP09115,USER2314,Sydney,2025-02-26,2025-04-03,Cultural,Bus,5,1339.89,6.0,Medium,February,36
TRIP08166,USER7606,Bangkok,2025-02-15,2025-03-04,Adventure,Flight,4,4775.52,8.0,High,February,17
TRIP08547,USER6956,Barcelona,2024-10-03,2025-04-05,Beach,Cruise,4,1370.47,7.0,Medium,October,184
TRIP05301,USER6085,Rome,2024-10-06,2024-12-30,Business,Flight,2,4003.94,8.0,High,October,85
TRIP01809,USER6289,Tokyo,2024-11-22,2024-11-24,Adventure,Bus,3,4358.72,3.0,Low,November,2
TRIP07776,USER2495,Paris,2024-08-11,2025-01-07,Beach,Train,3,4656.41,9.0,High,August,149
TRIP17314,USER3808,Sydney,2024-11-26,2025-03-07,Leisure,Flight,2,4996.06,5.0,Medium,November,101
TRIP01979,USER8177,Bangkok,2024-09-06,2025-01-07,Beach,Train,3,4985.32,9.0,High,September,123
TRIP02650,USER7512,Istanbul,2024-07-04,2025-01-06,Adventure,Car,2,4207.53,6.0,Medium,July,186
TRIP05650,USER7328,Paris,2025-03-01,2025-03-02,Beach,Bus,1,2800.52,1.0,Low,March,1
TRIP09803,USER1787,Barcelona,2024-06-03,2025-01-28,Beach,Train,3,1213.12,8.0,High,June,239
TRIP05397,USER9819,Sydney,2024-05-23,2024-07-22,Cultural,Bus,4,2372.91,1.0,Low,May,60
TRIP17644,USER7308,Bangkok,2025-02-15,2025-03-04,Adventure,Cruise,3,1809.31,9.0,High,February,17
TRIP07000,USER4602,Tokyo,2024-05-29,2024-12-04,Business,Train,1,1606.41,3.0,Low,May,189
TRIP19447,USER1078,Barcelona,2024-04-04,2025-01-27,Adventure,Train,2,626.07,3.0,Low,April,298
TRIP05658,USER7763,Istanbul,2025-02-16,2025-03-30,Leisure,Train,4,1400.78,1.0,Low,February,42
TRIP18738,USER6177,Bangkok,2025-01-06,2025-02-01,Cultural,Flight,5,2329.91,2.0,Low,January,26
TRIP08431,USER2227,New York,2024-03-29,2024-10-02,Leisure,Car,1,1697.15,9.0,High,March,187
TRIP18095,USER2561,London,2024-12-12,2025-01-08,Beach,Cruise,5,3144.57,4.0,Low,December,27
TRIP09635,USER2521,Bangkok,2024-08-01,2025-04-06,Family,Bus,5,1696.03,5.0,Medium,August,248
TRIP02564,USER2139,Bangkok,2024-12-19,2025-01-15,Adventure,Car,5,1250.15,7.0,Medium,December,27
TRIP08202,USER4954,New York,2024-10-20,2025-01-03,Family,Car,1,4027.65,1.0,Low,October,75
TRIP05806,USER9536,London,2024-09-23,2025-03-21,Family,Flight,2,890.24,1.0,Low,September,179
TRIP02294,USER6726,Barcelona,2024-09-11,2024-10-12,Family,Train,5,4823.29,8.0,High,September,31
TRIP15864,USER4571,Bangkok,2024-10-21,2024-12-05,Leisure,Cruise,5,2787.15,6.0,Medium,October,45
TRIP19320,USER1089,Istanbul,2025-01-30,2025-02-14,Family,Bus,5,2537.24,9.0,High,January,15
TRIP00423,USER5668,Paris,2024-06-28,2024-08-16,Beach,Flight,1,2209.54,8.0,High,June,49
TRIP00285,USER6516,Dubai,2024-12-05,2025-02-21,Adventure,Car,5,4968.75,4.0,Low,December,78
TRIP01007,USER1506,Sydney,2024-08-03,2024-11-22,Leisure,Train,4,3588.98,4.0,Low,August,111
TRIP13020,USER3719,New York,2024-06-07,2024-12-22,Adventure,Cruise,3,1669.61,1.0,Low,June,198
TRIP03208,USER5973,Tokyo,2024-10-14,2024-11-17,Cultural,Car,2,1538.77,3.0,Low,October,34
TRIP04814,USER7752,Istanbul,2024-09-27,2024-12-31,Business,Train,3,2394.26,3.0,Low,September,95
TRIP19393,USER3118,Tokyo,2024-09-07,2024-09-08,Leisure,Train,4,2942.94,4.0,Low,September,1
TRIP14122,USER3218,Tokyo,2024-11-28,2025-03-17,Adventure,Train,3,4738.58,4.0,Low,November,109
TRIP03868,USER8782,Bangkok,2024-11-01,2025-01-16,Business,Cruise,4,2700.11,9.0,High,November,76
TRIP18294,USER6798,Sydney,2025-02-24,2025-02-24,Business,Bus,2,4148.73,9.0,High,February,0
TRIP03272,USER7831,London,2024-08-16,2025-03-26,Leisure,Train,3,4267.67,8.0,High,August,222
TRIP19869,USER2753,Paris,2024-10-06,2025-02-15,Adventure,Car,2,3644.46,2.0,Low,October,132
TRIP18325,USER4552,Rome,2024-03-16,2024-03-28,Beach,Car,3,1564.79,4.0,Low,March,12
TRIP19961,USER2458,Paris,2025-01-13,2025-01-23,Leisure,Flight,5,2238.44,4.0,Low,January,10
TRIP16569,USER3616,Bangkok,2025-02-14,2025-04-11,Adventure,Train,5,3034.48,9.0,High,February,56
TRIP08286,USER7087,Barcelona,2024-08-15,2025-01-11,Adventure,Train,4,3224.01,7.0,Medium,August,149
TRIP16578,USER1209,Dubai,2024-12-24,2025-03-25,Cultural,Bus,4,4198.49,3.0,Low,December,91
TRIP17134,USER5461,Rome,2024-12-20,2025-02-03,Adventure,Cruise,1,3531.51,7.0,Medium,December,45
TRIP04478,USER3800,Rome,2025-02-22,2025-04-06,Cultural,Car,1,4627.65,10.0,High,February,43
TRIP19437,USER4785,Bangkok,2024-09-07,2025-03-06,Cultural,Flight,3,2555.18,8.0,High,September,180
TRIP16090,USER6524,New York,2024-10-25,2024-12-26,Cultural,Bus,1,4492.37,3.0,Low,October,62
TRIP14572,USER8383,Rome,2024-09-20,2025-01-28,Beach,Flight,4,3492.65,3.0,Low,September,130
